id,process_id,offspring_size,genotype_table,fitness_table,ea_optimizer_id,generation_index,individual_index,individual_id,ea_optimizer_id_1,individual_id_1,genotype_id,fitness_id,id_1,value
1,0,50,genotype,float,1,0,0,0,1,0,1,1,1,0.11422549592713285
1,0,50,genotype,float,1,0,1,1,1,1,2,2,2,0.08634828966664684
1,0,50,genotype,float,1,0,2,2,1,2,3,3,3,0.08883377223546522
1,0,50,genotype,float,1,0,3,3,1,3,4,4,4,0.10704541011064306
1,0,50,genotype,float,1,0,4,4,1,4,5,5,5,0.015316773737141156
1,0,50,genotype,float,1,0,5,5,1,5,6,6,6,0.053190082169257774
1,0,50,genotype,float,1,0,6,6,1,6,7,7,7,0.030838700937712044
1,0,50,genotype,float,1,0,7,7,1,7,8,8,8,0.34274343253375333
1,0,50,genotype,float,1,0,8,8,1,8,9,9,9,0.09703293691969078
1,0,50,genotype,float,1,0,9,9,1,9,10,10,10,0.4179803260253155
1,0,50,genotype,float,1,0,10,10,1,10,11,11,11,0.0647026981618182
1,0,50,genotype,float,1,0,11,11,1,11,12,12,12,0.19698974927116103
1,0,50,genotype,float,1,0,12,12,1,12,13,13,13,0.17624620591906887
1,0,50,genotype,float,1,0,13,13,1,13,14,14,14,0.23685966199743633
1,0,50,genotype,float,1,0,14,14,1,14,15,15,15,0.15657753519418027
1,0,50,genotype,float,1,0,15,15,1,15,16,16,16,0.09212545619521086
1,0,50,genotype,float,1,0,16,16,1,16,17,17,17,0.09819101437502967
1,0,50,genotype,float,1,0,17,17,1,17,18,18,18,0.01087059396829563
1,0,50,genotype,float,1,0,18,18,1,18,19,19,19,0.2262392920223758
1,0,50,genotype,float,1,0,19,19,1,19,20,20,20,0.05511103368393396
1,0,50,genotype,float,1,0,20,20,1,20,21,21,21,0.07733663624029191
1,0,50,genotype,float,1,0,21,21,1,21,22,22,22,0.03264929955624008
1,0,50,genotype,float,1,0,22,22,1,22,23,23,23,0.08411002464970425
1,0,50,genotype,float,1,0,23,23,1,23,24,24,24,0.060505632736055755
1,0,50,genotype,float,1,0,24,24,1,24,25,25,25,0.05120309880609806
1,0,50,genotype,float,1,0,25,25,1,25,26,26,26,0.03237193278950496
1,0,50,genotype,float,1,0,26,26,1,26,27,27,27,0.14077053747196613
1,0,50,genotype,float,1,0,27,27,1,27,28,28,28,0.1916752132885688
1,0,50,genotype,float,1,0,28,28,1,28,29,29,29,0.2714633106814866
1,0,50,genotype,float,1,0,29,29,1,29,30,30,30,0.045916609279576935
1,0,50,genotype,float,1,0,30,30,1,30,31,31,31,0.06409354902486065
1,0,50,genotype,float,1,0,31,31,1,31,32,32,32,0.018373812855152737
1,0,50,genotype,float,1,0,32,32,1,32,33,33,33,0.04109402945222304
1,0,50,genotype,float,1,0,33,33,1,33,34,34,34,0.11629335835797147
1,0,50,genotype,float,1,0,34,34,1,34,35,35,35,0.17552269268574083
1,0,50,genotype,float,1,0,35,35,1,35,36,36,36,0.05447907999030153
1,0,50,genotype,float,1,0,36,36,1,36,37,37,37,0.015996895189446445
1,0,50,genotype,float,1,0,37,37,1,37,38,38,38,0.04815175711751122
1,0,50,genotype,float,1,0,38,38,1,38,39,39,39,0.12985084849697465
1,0,50,genotype,float,1,0,39,39,1,39,40,40,40,0.07132485525116455
1,0,50,genotype,float,1,0,40,40,1,40,41,41,41,0.013884904342895351
1,0,50,genotype,float,1,0,41,41,1,41,42,42,42,0.07812258790859974
1,0,50,genotype,float,1,0,42,42,1,42,43,43,43,0.3814221364813252
1,0,50,genotype,float,1,0,43,43,1,43,44,44,44,0.1470925437868441
1,0,50,genotype,float,1,0,44,44,1,44,45,45,45,0.06232964851884415
1,0,50,genotype,float,1,0,45,45,1,45,46,46,46,0.09933835873985782
1,0,50,genotype,float,1,0,46,46,1,46,47,47,47,0.10579036938545991
1,0,50,genotype,float,1,0,47,47,1,47,48,48,48,0.031054326248122533
1,0,50,genotype,float,1,0,48,48,1,48,49,49,49,0.19310831355937894
1,0,50,genotype,float,1,0,49,49,1,49,50,50,50,0.005473423711185039
1,0,50,genotype,float,1,0,50,50,1,50,51,51,51,0.046688441456335474
1,0,50,genotype,float,1,0,51,51,1,51,52,52,52,0.057901954730123224
1,0,50,genotype,float,1,0,52,52,1,52,53,53,53,0.032384943942534994
1,0,50,genotype,float,1,0,53,53,1,53,54,54,54,0.0847941283877579
1,0,50,genotype,float,1,0,54,54,1,54,55,55,55,0.041232923365868326
1,0,50,genotype,float,1,0,55,55,1,55,56,56,56,0.41370436887114204
1,0,50,genotype,float,1,0,56,56,1,56,57,57,57,0.11458602773747484
1,0,50,genotype,float,1,0,57,57,1,57,58,58,58,0.02720907052682555
1,0,50,genotype,float,1,0,58,58,1,58,59,59,59,0.02432207787584536
1,0,50,genotype,float,1,0,59,59,1,59,60,60,60,0.06304692761866774
1,0,50,genotype,float,1,0,60,60,1,60,61,61,61,0.06898560021975282
1,0,50,genotype,float,1,0,61,61,1,61,62,62,62,0.0651912184183121
1,0,50,genotype,float,1,0,62,62,1,62,63,63,63,0.07697705145914994
1,0,50,genotype,float,1,0,63,63,1,63,64,64,64,0.01272487431320108
1,0,50,genotype,float,1,0,64,64,1,64,65,65,65,0.06691490594436496
1,0,50,genotype,float,1,0,65,65,1,65,66,66,66,0.24488590048376085
1,0,50,genotype,float,1,0,66,66,1,66,67,67,67,0.03675315186055838
1,0,50,genotype,float,1,0,67,67,1,67,68,68,68,0.07784264671920092
1,0,50,genotype,float,1,0,68,68,1,68,69,69,69,0.09745121478871088
1,0,50,genotype,float,1,0,69,69,1,69,70,70,70,0.1679612423901817
1,0,50,genotype,float,1,0,70,70,1,70,71,71,71,0.05746453403047858
1,0,50,genotype,float,1,0,71,71,1,71,72,72,72,0.034689276837890304
1,0,50,genotype,float,1,0,72,72,1,72,73,73,73,0.18101860921991386
1,0,50,genotype,float,1,0,73,73,1,73,74,74,74,0.061841017718818114
1,0,50,genotype,float,1,0,74,74,1,74,75,75,75,0.3822313236759943
1,0,50,genotype,float,1,0,75,75,1,75,76,76,76,0.06961847876966325
1,0,50,genotype,float,1,0,76,76,1,76,77,77,77,0.034778047848454785
1,0,50,genotype,float,1,0,77,77,1,77,78,78,78,0.04449658183788777
1,0,50,genotype,float,1,0,78,78,1,78,79,79,79,0.1271784729322159
1,0,50,genotype,float,1,0,79,79,1,79,80,80,80,0.05956962406542835
1,0,50,genotype,float,1,0,80,80,1,80,81,81,81,0.038499656956237395
1,0,50,genotype,float,1,0,81,81,1,81,82,82,82,0.17235544263118588
1,0,50,genotype,float,1,0,82,82,1,82,83,83,83,0.17237060970489573
1,0,50,genotype,float,1,0,83,83,1,83,84,84,84,0.09141027276749955
1,0,50,genotype,float,1,0,84,84,1,84,85,85,85,0.007794277095264589
1,0,50,genotype,float,1,0,85,85,1,85,86,86,86,0.23680007885735993
1,0,50,genotype,float,1,0,86,86,1,86,87,87,87,0.03879144840192167
1,0,50,genotype,float,1,0,87,87,1,87,88,88,88,0.06313869362183777
1,0,50,genotype,float,1,0,88,88,1,88,89,89,89,0.03466583010505847
1,0,50,genotype,float,1,0,89,89,1,89,90,90,90,0.0914412801803416
1,0,50,genotype,float,1,0,90,90,1,90,91,91,91,0.14944286741840862
1,0,50,genotype,float,1,0,91,91,1,91,92,92,92,0.1956989360623454
1,0,50,genotype,float,1,0,92,92,1,92,93,93,93,0.03524006832827832
1,0,50,genotype,float,1,0,93,93,1,93,94,94,94,0.13445514537137812
1,0,50,genotype,float,1,0,94,94,1,94,95,95,95,0.0793116247888991
1,0,50,genotype,float,1,0,95,95,1,95,96,96,96,0.03879129901702141
1,0,50,genotype,float,1,0,96,96,1,96,97,97,97,0.022453561717445586
1,0,50,genotype,float,1,0,97,97,1,97,98,98,98,0.02436602427976837
1,0,50,genotype,float,1,0,98,98,1,98,99,99,99,0.04744304082527288
1,0,50,genotype,float,1,0,99,99,1,99,100,100,100,0.09839571558756655
1,0,50,genotype,float,1,1,0,2,1,2,3,3,3,0.08883377223546522
1,0,50,genotype,float,1,1,1,15,1,15,16,16,16,0.09212545619521086
1,0,50,genotype,float,1,1,2,1,1,1,2,2,2,0.08634828966664684
1,0,50,genotype,float,1,1,3,72,1,72,73,73,73,0.18101860921991386
1,0,50,genotype,float,1,1,4,18,1,18,19,19,19,0.2262392920223758
1,0,50,genotype,float,1,1,5,65,1,65,66,66,66,0.24488590048376085
1,0,50,genotype,float,1,1,6,81,1,81,82,82,82,0.17235544263118588
1,0,50,genotype,float,1,1,7,67,1,67,68,68,68,0.07784264671920092
1,0,50,genotype,float,1,1,8,93,1,93,94,94,94,0.13445514537137812
1,0,50,genotype,float,1,1,9,74,1,74,75,75,75,0.3822313236759943
1,0,50,genotype,float,1,1,10,5,1,5,6,6,6,0.053190082169257774
1,0,50,genotype,float,1,1,11,45,1,45,46,46,46,0.09933835873985782
1,0,50,genotype,float,1,1,12,13,1,13,14,14,14,0.23685966199743633
